"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Electrotherm (India) Limited","12742814","3955825","    31.04","8786989","300000","     7.58","     2.35",,"12-Jun-2024 11:30:20","1016475","11633488","8.74",,"12-Jun-2024 11:30:20"
"Elgi Equipments Limited","316909016","99349380","    31.35","217559636","664160","     0.67","     0.21","39.963","12-Jun-2024 11:30:15","10088094","314913423","3.2","607.001","12-Jun-2024 11:30:15"
"Elgi Rubber Company Limited","50050000","32549741","    65.03","17500259","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","470569","49304599","0.95","2.287","12-Jun-2024 11:30:37"
"Emami Limited","436500000","239393412","    54.84","197106588","31330449","    13.09","     7.18","1345.173","12-Jun-2024 11:30:29","34257603","435605900","7.86","1470.85","12-Jun-2024 11:30:29"
"Emami Paper Mills Limited","60499050","45358286","    74.97","15140764","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","1809894","60292797","3","20.66","12-Jun-2024 11:30:41"
"Emkay Global Financial Services Limited","24690776","18353984","    74.34","6336792","4851484","    26.43","    19.65",,"12-Jun-2024 11:30:29","1078638","24708669","4.37",,"12-Jun-2024 11:30:29"
"Emmbi Industries Limited","17690250","10477653","    59.23","7212597","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","468720","17690250","2.65","4.19","12-Jun-2024 11:30:35"
"Energy Development Company Limited","47500000","27616041","    58.14","19883959","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","503901","47474609","1.06","1.109","12-Jun-2024 11:30:33"
"Engineers India Limited","562042373","288458584","    51.32","273583789","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","30633241","561781947","5.45","618.638","12-Jun-2024 11:30:21"
"Entertainment Network (India) Limited","47670415","33918400","    71.15","13752015","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","1348037","47670173","2.83","35.069","12-Jun-2024 11:30:28"
"Eon Electric Limited","16902466","10437123","    61.75","6465343","4098030","    39.26","    24.25",,"12-Jun-2024 11:30:38","1846750","16325864","11.31",,"12-Jun-2024 11:30:38"
"Epigral Limited","41550158","29702494","    71.49","11847664","0","     0.00","     0.00","0","12-Jun-2024 11:30:42","1624482","41550158","3.91","178.36","12-Jun-2024 11:30:42"
"Eris Lifesciences Limited","136028280","74683744","    54.90","61344536","13823970","    18.51","    10.16","1165.845","12-Jun-2024 11:30:40","20136734","136047466","14.8","1698.231","12-Jun-2024 11:30:40"
"Eros International Media Limited","95914119","15589951","    16.25","80324168","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","7511320","95914018","7.83","13.408","12-Jun-2024 11:30:36"
"Esab India Limited","15393020","11347960","    73.72","4045060","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","175707","15292299","1.15","92.282","12-Jun-2024 11:30:17"
"Escorts Kubota Limited","110498261","76802895","    69.51","33695366","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","1766870","109797483","1.61","490.713","12-Jun-2024 11:30:07"
"Essar Shipping Limited","206976072","152647215","    73.75","54328857","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","2196229","204873734","1.07","4.502","12-Jun-2024 11:30:38"
"Ester Industries Limited","93954009","58683068","    62.46","35270941","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","3296081","93284109","3.53","28","12-Jun-2024 11:30:37"
"Euro Ceramics Limited","33737717","3404095","    10.09","30333622","3403895","    99.99","    10.09",,"12-Jun-2024 11:30:31","4957922","31260115","15.86",,"12-Jun-2024 11:30:31"
"Euro Multivision Limited","23800049","11187563","    47.01","12612486","0","     0.00","     0.00",,"12-Jun-2024 11:30:35","54084","23798559","0.23",,"12-Jun-2024 11:30:35"
"Eurotex Industries and Exports Limited","8749865","6211627","    70.99","2538238","0","     0.00","     0.00",,"12-Jun-2024 11:30:05","315440","8572125","3.68",,"12-Jun-2024 11:30:05"
"Eveready Industries India Limited","72687260","31404471","    43.20","41282789","4573","     0.01","     0.01","0.153","12-Jun-2024 11:30:27","9332139","72249383","12.92","311.88","12-Jun-2024 11:30:27"
"Everest Industries Limited","15788950","7933409","    50.25","7855541","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","394331","15671266","2.52","41.072","12-Jun-2024 11:30:16"
"Everest Kanto Cylinder Limited","112207682","75613143","    67.39","36594539","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","6026378","112206127","5.37","79.156","12-Jun-2024 11:30:28"
"Excel Industries Limited","12570692","6656729","    52.95","5913963","2182","     0.03","     0.02","0.154","12-Jun-2024 11:30:26","438306","12462688","3.52","31.015","12-Jun-2024 11:30:26"
"Excel Realty N Infra Limited","1410695055","269711547","    19.12","1140983508","0","     0.00","     0.00",,"12-Jun-2024 11:30:34","24652626","1407237255","1.75",,"12-Jun-2024 11:30:34"
"Exide Industries Limited","850000000","390954666","    45.99","459045334","0","     0.00","     0.00","0","12-Jun-2024 11:30:05","11576233","844602040","1.37","352.554","12-Jun-2024 11:30:05"
"Expleo Solutions Limited","15519739","11026058","    71.05","4493681","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","367858","15519739","2.37","44.638","12-Jun-2024 11:30:35"
"FCS Software Solutions Limited","1709553100","335962450","    19.65","1373590650","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","33166791","1709063256","1.94","12.106","12-Jun-2024 11:30:28"
"FDC Limited","162810084","113410433","    69.66","49399651","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","1660251","161518361","1.03","70.544","12-Jun-2024 11:30:21"
"Fedders Electric and Engineering Limited","30000000","30000000","   100.00","0",,,,,"12-Jun-2024 11:30:19","270868","33483328","0.81",,"12-Jun-2024 11:30:19"
"Federal-Mogul Goetze (India) Limited.","55632130","41715454","    74.98","13916676","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","1725428","55288003","3.12","55.576","12-Jun-2024 11:30:17"
"Fertilizers and Chemicals Travancore Limited","647071974","582364776","    90.00","64707198","0","     0.00","     0.00","0","12-Jun-2024 11:30:05","1067762","644113393","0.17","67.05","12-Jun-2024 11:30:05"
"Fiem Industries Limited","26319660","17518314","    66.56","8801346","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","1041180","26319639","3.96","117.94","12-Jun-2024 11:30:30"
"Filatex India Limited","443855500","287434472","    64.76","156421028","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","43082673","443203924","9.72","252.249","12-Jun-2024 11:30:37"
"Finolex Cables Limited","152939345","55089920","    36.02","97849425","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","1992945","151982009","1.31","199.494","12-Jun-2024 11:30:18"
"Finolex Industries Limited","620476905","327704485","    52.81","292772420","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","12604212","607570785","2.07","310.631","12-Jun-2024 11:30:18"
"Firstsource Solutions Limited","696990826","383353573","    55.00","313637253","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","19904496","696989701","2.86","393.412","12-Jun-2024 11:30:31"
"Five-Star Business Finance Limited","292449220","77533460","    26.51","214915760","200","     0.00","     0.00","0.014","12-Jun-2024 11:30:42","2449356","291983050","0.84","176.219","12-Jun-2024 11:30:42"
"Flexituff Ventures International Limited","30704082","10375219","    33.79","20328863","6648720","    64.08","    21.65","31.083","12-Jun-2024 11:30:37","10179215","26882805","37.87","47.588","12-Jun-2024 11:30:37"
"Foods & Inns Limited","56763653","11683840","    20.58","45079813","1188000","    10.17","     2.09","15.486","12-Jun-2024 11:30:42","4170711","56001157","7.45","54.365","12-Jun-2024 11:30:42"
"Fortis Healthcare Limited","754958148","235294117","    31.17","519664031","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","15576835","754818447","2.06","654.539","12-Jun-2024 11:30:32"
"Foseco India Limited","6386459","4788845","    74.98","1597614","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","40453","6353358","0.64","11.78","12-Jun-2024 11:30:17"
"Fusion Micro Finance Limited","101023885","58704824","    58.11","42319061","1620000","     2.76","     1.60","75.047","12-Jun-2024 11:30:42","4034695","101023885","3.99","186.907","12-Jun-2024 11:30:42"
"Future Consumer Limited","1997034643","72903744","     3.65","1924130899","6341902","     8.70","     0.32",,"12-Jun-2024 11:30:38","45419526","1996882653","2.27",,"12-Jun-2024 11:30:38"
"Future Enterprises Limited","39374679","28436580","    72.22","10938099","0","     0.00","     0.00",,"12-Jun-2024 11:30:34","492853","39332994","1.25",,"12-Jun-2024 11:30:34"
"Future Enterprises Limited","454930401","74467852","    16.37","380462549","45750000","    61.44","    10.06",,"12-Jun-2024 11:30:24","52807913","454557458","11.62",,"12-Jun-2024 11:30:24"
"Future Lifestyle Fashions Limited","201774874","41331939","    20.48","160442935","40968074","    99.12","    20.30",,"12-Jun-2024 11:30:38","38866714","201650074","19.27",,"12-Jun-2024 11:30:38"
"Future Market Networks Limited","57544381","37583410","    65.31","19960971","0","     0.00","     0.00",,"12-Jun-2024 11:30:36","37188710","57504785","64.67",,"12-Jun-2024 11:30:36"
"Future Retail Limited","542284079","77590160","    14.31","464693919","24162063","    31.14","     4.46",,"12-Jun-2024 11:30:40","15839573","541363915","2.93",,"12-Jun-2024 11:30:40"
"Future Supply Chain Solutions Limited","43883598","9633085","    21.95","34250513","9632685","   100.00","    21.95",,"12-Jun-2024 11:30:41","10053601","43883592","22.91",,"12-Jun-2024 11:30:41"
"GACM Technologies Limited","59109227","96679","     0.16","59012548","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","6950031","58828884","11.81",,"12-Jun-2024 11:30:41"
"GACM Technologies Limited","340287057","28131673","     8.27","312155384","0","     0.00","     0.00",,"12-Jun-2024 11:30:40","12626178","339736697","3.72",,"12-Jun-2024 11:30:40"
"GAIL (India) Limited","6575099643","3435337858","    52.25","3139761785","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","75501296","6574812571","1.15","1366.951","12-Jun-2024 11:30:21"
"GB Global Limited","50033143","50010601","    99.95","22542","4","     0.00","     0.00",,"12-Jun-2024 11:30:41",,,,,"12-Jun-2024 11:30:41"
"GE Power India Limited","67227471","46102083","    68.58","21125388","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","2366279","66725025","3.55","62.837","12-Jun-2024 11:30:23"
"GE T&D India Limited","256046535","192034901","    75.00","64011634","0","     0.00","     0.00",,"12-Jun-2024 11:30:11","433296","254691841","0.17",,"12-Jun-2024 11:30:11"
"GFL Limited","109850000","75492611","    68.72","34357389","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","2635822","109281000","2.41","17.871","12-Jun-2024 11:30:07"
"GHCL Limited","95723986","18226485","    19.04","77497501","200244","     1.10","     0.21","8.876","12-Jun-2024 11:30:16","9139091","94031190","9.72","405.09","12-Jun-2024 11:30:16"
"GIC Housing Finance Limited","53851066","22836839","    42.41","31014227","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","5198521","53624132","9.69","104.698","12-Jun-2024 11:30:16"
"GKW Limited","5966500","4474875","    75.00","1491625","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","79206","5862085","1.35","11.262","12-Jun-2024 11:30:34"
"GM Breweries Limited","18277538","13604123","    74.43","4673415","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","544128","22498323","2.42","34.498","12-Jun-2024 11:30:14"
"GMR Airports Infrastructure Limited","6035945275","3565669176","    59.07","2470276099","2076323947","    58.23","    34.40","16942.803","12-Jun-2024 11:30:29","2089523067","6035713588","34.62","17050.508","12-Jun-2024 11:30:29"
"GNA Axles Limited","42930800","29263054","    68.16","13667746","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","960763","42930800","2.24","36.557","12-Jun-2024 11:30:40"
"GOCL Corporation Limited","49572490","36100791","    72.82","13471699","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","1904415","49314420","3.86","86.575","12-Jun-2024 11:30:39"
"GP Petroleums Limited","50984383","32345009","    63.44","18639374","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","1537256","50982436","3.02","9.277","12-Jun-2024 11:30:26"
"GPT Infraprojects Limited","58172000","43628120","    75.00","14543880","29667720","    68.00","    51.00","463.706","12-Jun-2024 11:30:40","30494226","58171987","52.42","476.625","12-Jun-2024 11:30:40"
"GRP Limited","1333333","538098","    40.36","795235","1000","     0.19","     0.08","0.651","12-Jun-2024 11:30:39","12814","1299149","0.99","8.348","12-Jun-2024 11:30:39"
"GSS Infotech Limited","16936843","3675649","    21.70","13261194","0","     0.00","     0.00",,"12-Jun-2024 11:30:34","5216637","25806843","20.21",,"12-Jun-2024 11:30:34"
"GTL Infrastructure Limited","12807020947","420144016","     3.28","12386876931","420144016","   100.00","     3.28","67.223","12-Jun-2024 11:30:30","217566071","12712596373","1.71","34.811","12-Jun-2024 11:30:30"
"GTL Limited","157296781","22480559","    14.29","134816222","22000000","    97.86","    13.99",,"12-Jun-2024 11:30:16","5065289","157094902","3.22",,"12-Jun-2024 11:30:16"
"GTPL Hathway Limited","112463038","84347278","    75.00","28115760","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","4688600","112463038","4.17","78.065","12-Jun-2024 11:30:40"
"GVK Power & Infrastructure Limited","1579210400","856729340","    54.25","722481060","0","     0.00","     0.00","0","12-Jun-2024 11:30:29","18495862","1577080184","1.17","18.033","12-Jun-2024 11:30:29"
"Gabriel India Limited","143643940","79004167","    55.00","64639773","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","2472188","142571760","1.73","82.534","12-Jun-2024 11:30:17"
"Galaxy Surfactants Limited","35454752","25142193","    70.91","10312559","4000","     0.02","     0.01","0.909","12-Jun-2024 11:30:41","206532","35312952","0.58","46.909","12-Jun-2024 11:30:41"
"Gallantt Ispat Limited","241280945","166320810","    68.93","74960135","513500","     0.31","     0.21",,"12-Jun-2024 11:30:29","3836809","241102175","1.59",,"12-Jun-2024 11:30:29"
"Gandhi Special Tubes Limited","12152000","8935257","    73.53","3216743","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","104201","11875905","0.88","7.635","12-Jun-2024 11:30:31"
"Ganesh Housing Corporation Limited","83387090","60922084","    73.06","22465006","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","3588894","83110553","4.32","265.776","12-Jun-2024 11:30:20"
"Ganesha Ecosphere Limited","25346984","9276207","    36.60","16070777","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","736129","25029770","2.94","72.509","12-Jun-2024 11:30:39"
"Gangotri Textiles Limited","32614634","8000457","    24.53","24614177","5987593","    74.84","    18.36",,"12-Jun-2024 11:30:29","6206987","32210058","19.27",,"12-Jun-2024 11:30:29"
"Gayatri Highways Limited","239651900","146554710","    61.15","93097190","133199035","    90.89","    55.58",,"12-Jun-2024 11:30:41","141826376","239649629","59.18",,"12-Jun-2024 11:30:41"
"Gayatri Projects Limited","187198685","7383985","     3.94","179814700","0","     0.00","     0.00",,"12-Jun-2024 11:30:37","41863437","187198540","22.36",,"12-Jun-2024 11:30:37"
"GeeCee Ventures Limited","20911729","14159942","    67.71","6751787","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","513446","20912792","2.46","13.121","12-Jun-2024 11:30:30"
"Genesys International Corporation Limited","39540634","14990902","    37.91","24549732","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","4678024","39553986","11.83","276.682","12-Jun-2024 11:30:25"
"Gensol Engineering Limited","37872897","23717306","    62.62","14155591","14955552","    63.06","    39.49","1317.958","12-Jun-2024 11:30:42","20088292","37872897","53.04","1770.281","12-Jun-2024 11:30:42"
"Genus Paper & Boards Limited","257125940","129861678","    50.51","127264262","14000000","    10.78","     5.44","26.04","12-Jun-2024 11:30:39","32685513","254718472","12.83","60.795","12-Jun-2024 11:30:39"
"Genus Power Infrastructures Limited","303754517","129594590","    42.66","174159927","79831609","    61.60","    26.28","1838.522","12-Jun-2024 11:30:27","25298705","302403355","8.37","582.629","12-Jun-2024 11:30:27"
"Geojit Financial Services Limited","239144482","130549930","    54.59","108594552","0","     0.00","     0.00","0","12-Jun-2024 11:30:27","5732888","238993180","2.4","36.805","12-Jun-2024 11:30:27"
"Ghcl Textiles Limited","95585786","18309035","    19.15","77276751","200244","     1.09","     0.21","1.518","12-Jun-2024 11:30:42","5666565","95585786","5.93","42.953","12-Jun-2024 11:30:42"
"Gillanders Arbuthnot & Company Limited","21342346","14743318","    69.08","6599028","0","     0.00","     0.00",,"12-Jun-2024 11:30:35","281756","21048342","1.34",,"12-Jun-2024 11:30:35"
"Gillette India Limited","32585217","24437803","    75.00","8147414","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","1159803","32533130","3.56","756.145","12-Jun-2024 11:30:17"
"Ginni Filaments Limited","85650065","59717283","    69.72","25932782","10408300","    17.43","    12.15","31.537","12-Jun-2024 11:30:11","11803026","85152523","13.86","35.763","12-Jun-2024 11:30:11"
"Gitanjali Gems Limited","118616005","32926361","    27.76","85689644","25866102","    78.56","    21.81",,"12-Jun-2024 11:30:29","25021485","118550246","21.11",,"12-Jun-2024 11:30:29"
"GlaxoSmithKline Pharmaceuticals Limited","169406034","127054524","    75.00","42351510","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","1535130","168007692","0.91","298.828","12-Jun-2024 11:30:16"
"Glenmark Life Sciences Limited","122527172","101513656","    82.85","21013516","9609571","     9.47","     7.84","746.327","12-Jun-2024 11:30:42","1067383","122527172","0.87","82.898","12-Jun-2024 11:30:42"
"Glenmark Pharmaceuticals Limited","282188156","131617687","    46.64","150570469","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","3402711","281322522","1.21","326.133","12-Jun-2024 11:30:23"
"Global Vectra Helicorp Limited","14000000","10500000","    75.00","3500000","0","     0.00","     0.00",,"12-Jun-2024 11:30:30","188161","13999951","1.34",,"12-Jun-2024 11:30:30"
"Globe Textiles (India) Limited","300279192","126435198","    42.11","173843994","0","     0.00","     0.00",,"12-Jun-2024 11:30:40","7974664","300279192","2.66",,"12-Jun-2024 11:30:40"
"Globus Spirits Limited","28822633","14693920","    50.98","14128713","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","1931648","28821733","6.7","128.551","12-Jun-2024 11:30:34"
"Gmr Power And Urban Infra Limited","603594528","361116914","    59.83","242477614","271250000","    75.11","    44.94","1162.306","12-Jun-2024 11:30:42","336176778","603594518","55.7","1440.517","12-Jun-2024 11:30:42"
"Go Fashion (India) Limited","54008984","28508648","    52.79","25500336","4656200","    16.33","     8.62","561.165","12-Jun-2024 11:30:42","4776836","54008983","8.84","575.704","12-Jun-2024 11:30:42"
"Goa Carbon Limited","9151052","5464989","    59.72","3686063","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","448877","9004258","4.99","33.125","12-Jun-2024 11:30:22"
"Godawari Power And Ispat limited","135944988","86004908","    63.26","49940080","0","     0.00","     0.00","0","12-Jun-2024 11:30:29","6236353","135940850","4.59","472.279","12-Jun-2024 11:30:29"
"Godfrey Phillips India Limited","51993920","37948729","    72.99","14045191","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","1212337","51588578","2.35","374.515","12-Jun-2024 11:30:17"
"Godha Cabcon & Insulation Limited","666240000","53077951","     7.97","613162049","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","6703727","666240000","1.01",,"12-Jun-2024 11:30:41"
"Godrej Consumer Products Limited","1022820329","646488267","    63.21","376332062","4263670","     0.66","     0.42","533.726","12-Jun-2024 11:30:24","2265799","1016517299","0.22","283.633","12-Jun-2024 11:30:24"
"Godrej Industries Limited","336690741","226126787","    67.16","110563954","12708622","     5.62","     3.77","994.386","12-Jun-2024 11:30:25","2489897","336459401","0.74","194.822","12-Jun-2024 11:30:25"
"Godrej Properties Limited","278041474","162599633","    58.48","115441841","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","2143212","278026344","0.77","492.96","12-Jun-2024 11:30:35"
"Goenka Diamond and Jewels Limited","317000000","182429250","    57.55","134570750","0","     0.00","     0.00",,"12-Jun-2024 11:30:35","6793027","316994515","2.14",,"12-Jun-2024 11:30:35"
"Gokaldas Exports Limited","63382860","6705348","    10.58","56677512","0","     0.00","     0.00","0","12-Jun-2024 11:30:27","2391856","71174183","3.36","168.841","12-Jun-2024 11:30:27"
"Gokul Agro Resources Limited","147543358","108627074","    73.62","38916284","15000000","    13.81","    10.17","163.725","12-Jun-2024 11:30:40","22310672","147537078","15.12","243.521","12-Jun-2024 11:30:40"
"Gokul Refoils and Solvent Limited","98995000","72274272","    73.01","26720728",,,,,"12-Jun-2024 11:30:34","726155","98989595","0.73",,"12-Jun-2024 11:30:34"
"Golden Tobacco Limited","17608802","5290099","    30.04","12318703","0","     0.00","     0.00",,"12-Jun-2024 11:30:17","109812","16290298","0.67",,"12-Jun-2024 11:30:17"
"Goldiam International Limited","106795122","68622359","    64.26","38172763","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","5218153","106176912","4.91","89.178","12-Jun-2024 11:30:28"
"Granules India Limited","242368716","101703525","    41.96","140665191","4100000","     4.03","     1.69","176.362","12-Jun-2024 11:30:27","7009431","242276466","2.89","301.511","12-Jun-2024 11:30:27"
"Graphite India Limited","195375594","127659645","    65.34","67715949","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","6935366","194457828","3.57","418.584","12-Jun-2024 11:30:14"
"Grasim Industries Limited","680550136","295150604","    43.37","385399532","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","18262357","640933396","2.85","4177.149","12-Jun-2024 11:30:18"
"Gravita India Limited","69037914","46897814","    67.93","22140100","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","1821810","69032293","2.64","181.953","12-Jun-2024 11:30:36"
"Greaves Cotton Limited","231999969","129921455","    56.00","102078514","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","16995670","230591746","7.37","215.165","12-Jun-2024 11:30:17"
"Greenply Industries Limited","123698645","64326530","    52.00","59372115","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","3408640","123650465","2.76","78.808","12-Jun-2024 11:30:19"
"Grindwell Norton Limited","110720000","64254259","    58.03","46465741","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","611555","110164012","0.56","116.254","12-Jun-2024 11:30:30"
"Gufic Biosciences Limited","100277506","72708151","    72.51","27569355","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","1782833","100214506","1.78","50.365","12-Jun-2024 11:30:26"
"Gujarat Alkalies and Chemicals Limited","73436928","33986310","    46.28","39450618","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","5389780","72810956","7.4","362.975","12-Jun-2024 11:30:16"
"Gujarat Ambuja Exports Limited","458670660","292837968","    63.84","165832692","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","9792577","447785746","2.19","156.534","12-Jun-2024 11:30:23"
"Gujarat Apollo Industries Limited","11800000","6465219","    54.79","5334781","0","     0.00","     0.00",,"12-Jun-2024 11:30:20","123848","11680166","1.06",,"12-Jun-2024 11:30:20"
"Gujarat Fluorochemicals Limited","109850000","70090906","    63.81","39759094","3500600","     4.99","     3.19","1084.258","12-Jun-2024 11:30:41","8140530","109144000","7.46","2521.407","12-Jun-2024 11:30:41"
"Gujarat Industries Power Company Limited","151251188","83836161","    55.43","67415027","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","5742963","150617917","3.81","93.639","12-Jun-2024 11:30:14"
"Gujarat Lease Financing Limited","27125767","12387222","    45.67","14738545","0","     0.00","     0.00",,"12-Jun-2024 11:30:17","147710","24475652","0.6",,"12-Jun-2024 11:30:17"
"Gujarat Mineral Development Corporation Limited","318000000","235320000","    74.00","82680000","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","18361685","317616666","5.78","631.55","12-Jun-2024 11:30:21"
"Gujarat Narmada Valley Fertilizers and Chemicals Limited","146940683","60693667","    41.30","86247016","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","5114541","142000093","3.6","319.71","12-Jun-2024 11:30:07"
"Gujarat Pipavav Port Limited","483439910","212738931","    44.01","270700979","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","23152399","483116665","4.79","492.104","12-Jun-2024 11:30:36"
"Gujarat Raffia Industries Limited","5392632","2137752","    39.64","3254880","0","     0.00","     0.00",,"12-Jun-2024 11:30:20","4963","3295233","0.15",,"12-Jun-2024 11:30:20"
"Gujarat State Fertilizers & Chemicals Limited","398477530","150799905","    37.84","247677625","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","27807387","392523375","7.08","544.052","12-Jun-2024 11:30:18"
"Gujarat State Petronet Limited","564211376","212305270","    37.63","351906106","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","7124050","564196376","1.26","253.972","12-Jun-2024 11:30:28"
"Gulf Oil Lubricants India Limited","49168433","35300725","    71.80","13867708","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","726516","48933474","1.48","68.14","12-Jun-2024 11:30:39"
"HBL Power Systems Limited","277194946","163852309","    59.11","113342637","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","14788512","275020522","5.38","671.398","12-Jun-2024 11:30:30"
"HCL Infosystems Limited","329209928","207031161","    62.89","122178767","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","6922014","327413401","2.11","11.698","12-Jun-2024 11:30:23"
"HCL Technologies Limited","2713665096","1655975690","    61.02","1057689406","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","12393443","2713026556","0.46","1912.99","12-Jun-2024 11:30:22"
"HDFC Bank Limited","7596910662","1028375552","    13.54","6568535110","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","164171444","7596694640","2.16","23770.383","12-Jun-2024 11:30:14"
"HEC Infra Projects Limited","10138160","7421500","    73.20","2716660","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","41503","10138160","0.41","0.282","12-Jun-2024 11:30:40"
"HEG Limited","38595506","21527974","    55.78","17067532","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","1394665","38285062","3.64","257.183","12-Jun-2024 11:30:17"
"HFCL Limited","1440972812","543900692","    37.75","897072120","241548750","    44.41","    16.76","2217.418","12-Jun-2024 11:30:37","205944212","1442199992","14.28","1890.568","12-Jun-2024 11:30:37"
"HIL Limited","7540899","3059212","    40.57","4481687","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","249295","7505364","3.32","64.935","12-Jun-2024 11:30:16"
"HLV LIMITED","659259899","310065337","    47.03","349194562","105000000","    33.86","    15.93","273.525","12-Jun-2024 11:30:13","169927060","655211908","25.93","442.66","12-Jun-2024 11:30:13"
"HMT Limited","1204091640","1128056626","    93.69","76035014","0","     0.00","     0.00",,"12-Jun-2024 11:30:17","538698","760228391","0.07",,"12-Jun-2024 11:30:17"
"HOV Services Limited","12594972","6349829","    50.42","6245143","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","253031","12527382","2.02","1.455","12-Jun-2024 11:30:30"
